Timestamp,How old are you (in years)?,Which gender do you most identify with?,"Prior to the COVID-19 pandemic, which of the following best matches the manner in which you would order and eat McDonald's food?",Why do you like eating at McDonald's?,Approximately how many meals have you eaten at McDonald's in the past month?,Approximately how many meals have you eaten at McDonald's in the past year?,"When you go to McDonald's for a lunchtime meal, which of the following menu items is your ""go-to"" order?","Which size of fries, if any, do you usually get with your McDonald's meal?","Which size of drink, if any, do you usually get with your McDonald's meal?",What type of drink do you usually get with your McDonald's meal?
9/30/2021 2:43:25,19,Female,Ordering from the drive-thru.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",2,20,Poutine,Large,Large,Sprite
9/30/2021 2:45:58,20,Male,Ordering from the drive-thru.,"There are low prices at McDonald's., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",1,15,Big Mac,Medium,Medium,Diet Coke or Coke Zero
9/30/2021 2:51:22,21,Male,Ordering from the drive-thru.,"There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's., There is good customer service at McDonald's.",0,2,Double Filet-O-Fish,Medium,Medium,NESTEA Iced Tea
9/30/2021 2:52:43,20,Male,Ordering inside and taking my meal to go.,"There is a McDonald's location near me., It is quick and efficient to get food at McDonald's.",3,30,Filet-O-Fish,Medium,Medium,NESTEA Iced Tea
9/30/2021 2:53:23,21,Female,Ordering inside and taking my meal to go.,"There are low prices at McDonald's., It is quick and efficient to get food at McDonald's.",1,3,Fries,Large,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 3:01:07,28,Male,Ordering inside and eating in-store.,"The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's., There is good customer service at McDonald's.",1,12,McChicken,Medium,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 3:02:50,20,Male,Ordering inside and taking my meal to go.,"There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",5,30,Big Mac,Medium,Medium,NESTEA Iced Tea
9/30/2021 6:39:03,20,Male,Ordering inside and eating in-store.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",5,15,Big Mac,Medium,Medium,Coca-Cola
9/30/2021 6:42:35,21,Prefer not to say,Ordering inside and taking my meal to go.,"There is a McDonald's location near me., It is quick and efficient to get food at McDonald's.",2,30,McChicken,Small,Small,Hot Coffee
9/30/2021 6:59:06,18,Male,Ordering inside and eating in-store.,"The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",0,0,Double Filet-O-Fish,I do not usually get French fries with my meal.,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
